epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0277,1.55959,2.72647,1.24268,0.65751,0.20826,0.4653,0.25651,1.40025,2.35722,1.11549,0.00055011,0.00055011,0.00055011
2,73.0863,1.44363,1.92946,1.22837,0.60207,0.65099,0.61101,0.33948,1.39671,1.70179,1.22491,0.00108388,0.00108388,0.00108388
3,108.664,1.44419,1.74315,1.22234,0.53071,0.63708,0.55014,0.28976,1.49792,1.62247,1.27154,0.00159565,0.00159565,0.00159565
4,145.081,1.39695,1.63546,1.23451,0.63907,0.5919,0.62775,0.3455,1.39224,1.58915,1.27046,0.00156798,0.00156798,0.00156798
5,182.761,1.39644,1.49484,1.21853,0.63217,0.68853,0.67772,0.38632,1.39246,1.27069,1.21648,0.00153497,0.00153497,0.00153497
6,219.828,1.37725,1.38615,1.19029,0.62828,0.71753,0.69654,0.36996,1.41603,1.20391,1.24242,0.00150197,0.00150197,0.00150197
7,258.43,1.38903,1.31693,1.19415,0.59219,0.76126,0.67826,0.3766,1.38843,1.26096,1.22028,0.00146896,0.00146896,0.00146896
8,294.607,1.37794,1.26444,1.21283,0.65929,0.60827,0.64461,0.37031,1.43815,1.22622,1.23807,0.00143595,0.00143595,0.00143595
9,330.765,1.3707,1.27854,1.20405,0.69762,0.71936,0.72555,0.41735,1.35946,1.07117,1.19968,0.00140295,0.00140295,0.00140295
10,366.782,1.33952,1.15834,1.18287,0.60684,0.67512,0.66791,0.38671,1.37967,1.15167,1.20584,0.00136994,0.00136994,0.00136994
11,402.609,1.31337,1.1502,1.17377,0.66285,0.75012,0.71596,0.40782,1.37911,1.02733,1.21689,0.00133693,0.00133693,0.00133693
12,438.373,1.30912,1.08358,1.1516,0.70449,0.71165,0.71495,0.39483,1.39136,1.10942,1.22091,0.00130393,0.00130393,0.00130393
13,474.599,1.31826,1.09755,1.15442,0.75208,0.734,0.72213,0.40356,1.39447,1.13771,1.21637,0.00127092,0.00127092,0.00127092
14,510.448,1.34183,1.06777,1.17017,0.73194,0.72814,0.74379,0.41849,1.38459,1.0786,1.19495,0.00123791,0.00123791,0.00123791
15,546.621,1.32831,1.01881,1.16769,0.67724,0.73624,0.67997,0.3773,1.43757,1.13803,1.21689,0.00120491,0.00120491,0.00120491
16,582.841,1.2873,1.01504,1.14907,0.70013,0.72813,0.70457,0.4025,1.39994,1.04645,1.2096,0.0011719,0.0011719,0.0011719
17,619.54,1.30918,0.97071,1.16015,0.74956,0.69478,0.72147,0.40578,1.37535,1.01524,1.21762,0.00113889,0.00113889,0.00113889
18,658.149,1.29128,0.9214,1.1561,0.69639,0.70263,0.72584,0.42042,1.3423,1.0259,1.19323,0.00110589,0.00110589,0.00110589
19,695.681,1.27292,0.97053,1.14786,0.69377,0.70275,0.6992,0.39487,1.41425,1.03061,1.19939,0.00107288,0.00107288,0.00107288
20,733.009,1.27561,0.92064,1.12269,0.66897,0.76932,0.69583,0.39294,1.39954,1.07113,1.23432,0.00103987,0.00103987,0.00103987
21,770.604,1.2906,0.90229,1.14684,0.73175,0.74161,0.74659,0.40949,1.42267,0.98359,1.24377,0.00100687,0.00100687,0.00100687
22,808.572,1.28307,0.91594,1.15215,0.70472,0.73995,0.7269,0.4126,1.38467,0.98615,1.20741,0.000973861,0.000973861,0.000973861
23,846.034,1.24375,0.8667,1.12083,0.71495,0.74395,0.75268,0.4424,1.33353,0.95441,1.19009,0.000940855,0.000940855,0.000940855
24,884.043,1.22488,0.84621,1.12533,0.7252,0.72347,0.73429,0.43169,1.36203,0.97165,1.1896,0.000907848,0.000907848,0.000907848
25,921.493,1.24385,0.85381,1.13,0.68746,0.75104,0.74713,0.42878,1.37614,0.96953,1.20776,0.000874842,0.000874842,0.000874842
26,959.483,1.18876,0.81413,1.10302,0.71215,0.7652,0.76457,0.43675,1.3499,0.90619,1.19886,0.000841835,0.000841835,0.000841835
27,997.355,1.20871,0.84657,1.11451,0.70224,0.73516,0.73152,0.42174,1.39171,0.96129,1.20191,0.000808828,0.000808828,0.000808828
28,1035.47,1.19625,0.80108,1.10055,0.712,0.75112,0.75501,0.45437,1.32559,0.92447,1.16778,0.000775822,0.000775822,0.000775822
29,1073.73,1.20086,0.7788,1.10844,0.72563,0.74027,0.73671,0.44023,1.33902,0.97955,1.18369,0.000742815,0.000742815,0.000742815
30,1111.81,1.20534,0.79951,1.10369,0.78056,0.73654,0.74876,0.43997,1.32231,0.89925,1.16588,0.000709809,0.000709809,0.000709809
31,1149.72,1.18579,0.76137,1.09533,0.72339,0.76362,0.74487,0.43695,1.3414,0.91296,1.18272,0.000676802,0.000676802,0.000676802
32,1187.62,1.18329,0.76338,1.10188,0.74413,0.74844,0.76389,0.44139,1.38733,0.90396,1.20503,0.000643795,0.000643795,0.000643795
33,1225.58,1.16336,0.75803,1.09726,0.75914,0.71209,0.74625,0.4349,1.35975,0.95087,1.20486,0.000610789,0.000610789,0.000610789
34,1263.79,1.13721,0.72463,1.09065,0.69067,0.81049,0.75527,0.44529,1.36932,0.88923,1.19212,0.000577782,0.000577782,0.000577782
35,1302.12,1.17391,0.73695,1.09575,0.75805,0.68909,0.7552,0.4303,1.37398,0.92413,1.19076,0.000544776,0.000544776,0.000544776
36,1340.29,1.16858,0.73719,1.08515,0.78363,0.75146,0.76688,0.44133,1.35416,0.89134,1.19372,0.000511769,0.000511769,0.000511769
37,1378.84,1.10593,0.70518,1.08329,0.70131,0.80152,0.77101,0.45615,1.32358,0.86958,1.18377,0.000478762,0.000478762,0.000478762
38,1417.4,1.13436,0.68811,1.08556,0.69724,0.80141,0.76178,0.42808,1.39322,0.90832,1.20377,0.000445756,0.000445756,0.000445756
39,1456.01,1.12117,0.71067,1.06444,0.77593,0.73128,0.76381,0.44134,1.37299,0.8805,1.19558,0.000412749,0.000412749,0.000412749
40,1494.86,1.12251,0.699,1.07066,0.76337,0.76218,0.79361,0.46573,1.33858,0.85691,1.18655,0.000379743,0.000379743,0.000379743
41,1668.23,1.1046,0.63748,1.06287,0.76728,0.7467,0.77137,0.45441,1.35516,0.89364,1.2002,0.000346736,0.000346736,0.000346736
42,1703.94,1.08877,0.61188,1.06394,0.76205,0.76098,0.7701,0.43674,1.36004,0.87677,1.20859,0.000313729,0.000313729,0.000313729
43,1742.06,1.05447,0.5991,1.04762,0.77361,0.72813,0.77413,0.44887,1.34259,0.86931,1.19047,0.000280723,0.000280723,0.000280723
44,1782.15,1.05505,0.58424,1.05868,0.74376,0.76151,0.77664,0.44347,1.36361,0.89112,1.20682,0.000247716,0.000247716,0.000247716
45,1820.51,1.03887,0.57542,1.04162,0.72397,0.79545,0.78182,0.45803,1.36336,0.87751,1.20067,0.00021471,0.00021471,0.00021471
46,1859.52,1.04248,0.57933,1.04449,0.72974,0.79185,0.77617,0.44835,1.35714,0.87512,1.20177,0.000181703,0.000181703,0.000181703
47,1897.19,1.03214,0.57215,1.04228,0.77493,0.76092,0.7714,0.45047,1.35734,0.8752,1.197,0.000148696,0.000148696,0.000148696
48,1935.57,1.01896,0.55368,1.02981,0.75603,0.75456,0.76071,0.44994,1.34377,0.87494,1.18746,0.00011569,0.00011569,0.00011569
49,1973.19,1.00718,0.54827,1.03236,0.74966,0.74992,0.76251,0.44864,1.34776,0.87704,1.19107,8.26832e-05,8.26832e-05,8.26832e-05
50,2008.62,1.00347,0.54297,1.02738,0.74475,0.75508,0.76349,0.44477,1.35997,0.87978,1.19672,4.96766e-05,4.96766e-05,4.96766e-05
